Year,Scientific Name,Country,Conservation Status,Kilotons of Co2,Metric Tons Per Capita,Population,GDP,Fossils,Renewables
2017,Crocodylus porosus,Malaysia,Least Concern,227620.0,7.12,31975812.0,738639609856.0,132.7,27.94
2018,Mecistops cataphractus,Guinea,Critically Endangered,3750.0,0.3,12554871.0,19045322752.0,0.73,0.76
2016,Osteolaemus tetraspis,Liberia,Vulnerable,1410.0,0.3,4706106.0,3793504000.0,0.38,0.0
2017,Crocodylus porosus,Australia,Least Concern,389160.0,15.82,24590336.0,1205343092736.0,209.14,40.77
2006,Crocodylus palustris,Pakistan,Vulnerable,132480.0,0.74,178069984.0,685964984320.0,59.1,32.66
2015,Crocodylus palustris,Sri Lanka,Vulnerable,20360.0,0.97,21336692.0,226113847296.0,6.38,6.34
2008,Mecistops cataphractus,Guinea,Critically Endangered,2010.0,0.21,9779793.0,11730749440.0,0.44,0.52
2005,Crocodylus palustris,Sri Lanka,Vulnerable,13980.0,0.72,19673866.0,126997200896.0,5.5,3.43
2014,Osteolaemus tetraspis,Sierra Leone,Vulnerable,1150.0,0.16,7140700.0,11528208384.0,0.04,0.15
2017,Mecistops leptorhynchus,Cameroon,Endangered,9170.0,0.38,24393182.0,73195061248.0,2.78,5.06
2016,Crocodylus palustris,Sri Lanka,Vulnerable,21930.0,1.03,21425494.0,236870762496.0,9.01,4.68
2018,Mecistops leptorhynchus,Cameroon,Endangered,9590.0,0.38,25076752.0,76168241152.0,3.29,4.99
2008,Crocodylus acutus,Cuba,Vulnerable,26750.0,2.37,11276607.0,67603095552.0,14.7,1.97
2012,Crocodylus niloticus,Tanzania,Least Concern,9870.0,0.21,47786136.0,108488548352.0,3.16,2.31
2012,Mecistops cataphractus,Nigeria,Critically Endangered,95340.0,0.56,170075936.0,909649182720.0,21.66,5.64
2012,Crocodylus intermedius,Colombia,Critically Endangered,69700.0,1.52,45782420.0,545385086976.0,12.96,47.58
2012,Crocodylus suchus,Chad,Least Concern,1860.0,0.15,12754912.0,22282383360.0,0.23,0.0
2015,Mecistops leptorhynchus,Gabon,Endangered,6120.0,3.02,2028524.0,35035176960.0,1.12,0.93
2012,Mecistops cataphractus,Guinea,Critically Endangered,2480.0,0.23,10788696.0,14087314432.0,0.22,0.49
2012,Osteolaemus tetraspis,Sierra Leone,Vulnerable,860.0,0.13,6788594.0,9134189568.0,0.06,0.12
2008,Crocodylus palustris,Iran,Vulnerable,523049.99,7.13,73318400.0,1141269463040.0,202.85,7.64
2012,Crocodylus niloticus,Egypt,Least Concern,215000.0,2.36,91240384.0,945768431616.0,150.04,14.35
2007,Mecistops cataphractus,Nigeria,Critically Endangered,81120.0,0.55,148294032.0,581024743424.0,15.74,6.17
2015,Crocodylus suchus,Mauritania,Least Concern,3560.0,0.9,3946225.0,12316128256.0,0.82,0.32
2010,Mecistops cataphractus,Sierra Leone,Critically Endangered,560.0,0.09,6436699.0,7455364096.0,0.04,0.12
