Year,Scientific Name,Country,Conservation Status,Kilotons of Co2,Metric Tons Per Capita,Population,GDP,Fossils,Renewables
2012,Crocodylus rhombifer,Cuba,Critically Endangered,28690.0,2.54,11309292.0,80388153344.0,15.55,1.82
2013,Osteolaemus tetraspis,Guinea,Vulnerable,2180.0,0.2,11055433.0,14709018624.0,0.16,0.48
2013,Crocodylus intermedius,Venezuela,Critically Endangered,180429.99,6.05,29838022.0,624601399296.0,37.24,82.8
2016,Crocodylus rhombifer,Cuba,Critically Endangered,27170.0,2.4,11342012.0,89440002048.0,17.64,1.74
2007,Crocodylus siamensis,Vietnam,Critically Endangered,105140.0,1.24,84762272.0,349424484352.0,41.64,22.52
2017,Crocodylus acutus,Colombia,Vulnerable,74990.0,1.55,48351668.0,635907473408.0,16.07,61.39
2014,Crocodylus siamensis,Cambodia,Critically Endangered,6950.0,0.46,15210817.0,45181947904.0,1.03,1.96
2011,Crocodylus moreletii,Guatemala,Least Concern,11740.0,0.81,14833458.0,100319617024.0,3.02,5.26
2016,Crocodylus porosus,Australia,Least Concern,384989.99,15.91,24195706.0,1176481300480.0,207.66,38.41
2006,Crocodylus rhombifer,Cuba,Critically Endangered,26780.0,2.38,11260636.0,61018247168.0,13.96,1.54
2012,Mecistops leptorhynchus,Gabon,Endangered,5600.0,3.05,1836711.0,29020540928.0,1.18,0.9
2010,Crocodylus acutus,Mexico,Vulnerable,462870.0,4.11,112532400.0,1637760630784.0,207.38,51.37
2017,Osteolaemus tetraspis,Cameroon,Vulnerable,9170.0,0.38,24393182.0,73195061248.0,2.78,5.06
2018,Mecistops cataphractus,Sierra Leone,Critically Endangered,860.0,0.11,7861287.0,10628815872.0,0.06,0.2
2005,Crocodylus mindorensis,Philippines,Critically Endangered,76670.0,0.89,86261248.0,424650342400.0,35.94,18.25
2011,Crocodylus novaeguineae,Indonesia,Least Concern,475310.0,1.92,247099696.0,2150142705664.0,161.41,30.46
2008,Crocodylus acutus,Mexico,Vulnerable,459549.99,4.19,109684496.0,1607400947712.0,184.51,53.22
2007,Crocodylus suchus,Chad,Least Concern,500.0,0.05,10722738.0,14704552960.0,0.12,0.0
2009,Crocodylus moreletii,Guatemala,Least Concern,11850.0,0.85,14259415.0,93747200000.0,4.04,4.5
2016,Crocodylus acutus,Mexico,Vulnerable,473310.0,3.89,121519224.0,1923887267840.0,239.78,52.97
2010,Crocodylus intermedius,Colombia,Critically Endangered,63560.0,1.42,44816104.0,491900633088.0,15.96,40.66
2012,Crocodylus acutus,Venezuela,Vulnerable,181130.0,6.15,29470428.0,533462253568.0,37.27,81.24
2015,Crocodylus moreletii,Mexico,Least Concern,471630.0,3.93,120149896.0,1899585208320.0,234.28,52.42
2007,Crocodylus suchus,Mali,Least Concern,2070.0,0.15,14080916.0,17779654656.0,0.31,0.52
2018,Crocodylus johnstoni,Australia,Least Concern,387070.01,15.5,24979228.0,1238559621120.0,207.45,42.93
2014,Crocodylus porosus,Indonesia,Least Concern,483910.0,1.89,256229760.0,2526852677632.0,203.11,34.41
2016,Crocodylus acutus,Cuba,Vulnerable,27170.0,2.4,11342012.0,89440002048.0,17.64,1.74
2005,Mecistops leptorhynchus,Gabon,Endangered,6060.0,4.16,1458362.0,16662218752.0,0.71,0.8
2015,Crocodylus mindorensis,Philippines,Critically Endangered,111010.0,1.08,103031360.0,753489674240.0,60.82,21.59
2010,Crocodylus niloticus,Uganda,Least Concern,3330.0,0.1,32341724.0,59228536832.0,1.1,1.59
2011,Osteolaemus tetraspis,Liberia,Vulnerable,850.0,0.2,4181148.0,3266880000.0,0.28,0.0
2011,Crocodylus acutus,Cuba,Vulnerable,27590.0,2.44,11298713.0,78036992000.0,14.99,1.74
2005,Crocodylus palustris,Pakistan,Vulnerable,121670.0,0.7,174372096.0,641139081216.0,55.7,31.52
2006,Crocodylus palustris,Iran,Vulnerable,484179.99,6.79,71275768.0,1006243938304.0,174.79,18.64
2009,Crocodylus mindorensis,Philippines,Critically Endangered,76300.0,0.82,92946952.0,517597462528.0,39.1,20.26
2009,Crocodylus rhombifer,Cuba,Critically Endangered,26980.0,2.39,11283184.0,70355910656.0,14.82,1.89
2011,Crocodylus niloticus,Tanzania,Least Concern,8190.0,0.18,46416032.0,103207059456.0,2.53,2.48
2009,Osteolaemus tetraspis,Cameroon,Vulnerable,7030.0,0.36,19319276.0,48395714560.0,1.59,3.98
2014,Crocodylus porosus,Malaysia,Least Concern,236649.99,7.73,30606454.0,638408589312.0,133.16,14.31
2007,Crocodylus siamensis,Cambodia,Critically Endangered,3660.0,0.27,13714798.0,33155622912.0,1.25,0.16
2010,Crocodylus niloticus,South Africa,Least Concern,425310.0,8.21,51784928.0,578235138048.0,227.57,2.51
2007,Crocodylus niloticus,Tanzania,Least Concern,5910.0,0.14,41716500.0,72742379520.0,1.22,2.84
2018,Crocodylus porosus,Australia,Least Concern,387070.01,15.5,24979228.0,1238559621120.0,207.45,42.93
2009,Crocodylus intermedius,Colombia,Critically Endangered,62010.0,1.4,44313916.0,473234341888.0,14.77,41.08
2014,Crocodylus acutus,Colombia,Vulnerable,79200.0,1.7,46677944.0,597109833728.0,20.99,48.06
2012,Crocodylus novaeguineae,Indonesia,Least Concern,481510.01,1.92,250222688.0,2279736344576.0,177.83,31.11
2016,Crocodylus mindorensis,Philippines,Critically Endangered,121960.0,1.16,104875272.0,805057069056.0,68.44,22.38
2013,Mecistops cataphractus,Liberia,Critically Endangered,920.0,0.21,4427319.0,3819599872.0,0.28,0.0
2008,Osteolaemus tetraspis,Ghana,Vulnerable,8660.0,0.36,24326092.0,60944891904.0,2.0,6.14
